"Squad","squad","count"
"Ajaccio","AC Ajaccio",35
"Alavés","Deportivo Alavés",174
"Almería","UD Almería",57
"Amiens","Amiens SC",80
"Angers","Angers SCO",169
"Arminia","Arminia Bielefeld",51
"Arsenal","Arsenal FC",190
"Aston Villa","Aston Villa",126
"Atalanta","Atalanta BC",198
"Athletic Club","Athletic Bilbao",183
"Atlético Madrid","Atlético de Madrid",184
"Augsburg","FC Augsburg",193
"Auxerre","AJ Auxerre",32
"Barcelona","FC Barcelona",194
"Bayern Munich","Bayern Munich",191
"Benevento","Benevento Calcio",68
"Betis","Real Betis Balompié",199
"Bochum","VfL Bochum",78
"Bologna","Bologna FC 1909",216
"Bordeaux","FC Girondins Bordeaux",155
"Bournemouth","AFC Bournemouth",136
"Brentford","Brentford FC",79
"Brescia","Brescia Calcio",32
"Brest","Stade Brestois 29",125
"Brighton","Brighton & Hove Albion",175
"Burnley","Burnley FC",147
"Caen","SM Caen",52
"Cagliari","Cagliari Calcio",183
"Cardiff City","Cardiff City",24
"Celta Vigo","Celta de Vigo",185
"Chelsea","Chelsea FC",191
"Chievo","Chievo Verona",59
"Clermont Foot","Clermont Foot 63",82
"Cremonese","US Cremonese",32
"Crotone","FC Crotone",60
"Crystal Palace","Crystal Palace",179
"Cádiz","Cádiz CF",132
"Darmstadt 98","SV Darmstadt 98",31
"Dijon","Dijon FCO",111
"Dortmund","Borussia Dortmund",194
"Düsseldorf","Fortuna Düsseldorf",52
"Eibar","SD Eibar",105
"Eint Frankfurt","Eintracht Frankfurt",195
"Elche","Elche CF",83
"Empoli","FC Empoli",123
"Espanyol","RCD Espanyol Barcelona",141
"Everton","Everton FC",190
"Fiorentina","ACF Fiorentina",197
"Freiburg","SC Freiburg",185
"Frosinone","Frosinone Calcio",66
"Fulham","Fulham FC",105
"Genoa","Genoa CFC",201
"Getafe","Getafe CF",188
"Girona","Girona FC",103
"Gladbach","Borussia Mönchengladbach",172
"Granada","Granada CF",127
"Greuther Fürth","SpVgg Greuther Fürth",28
"Guingamp","EA Guingamp",53
"Hamburger SV","Hamburger SV",29
"Hannover 96","Hannover 96",54
"Heidenheim","1.FC Heidenheim 1846",21
"Hellas Verona","Hellas Verona",194
"Hertha BSC","Hertha BSC",177
"Hoffenheim","TSG 1899 Hoffenheim",204
"Huddersfield","Huddersfield Town",56
"Huesca","SD Huesca",56
"Inter","Inter Milan",174
"Juventus","Juventus FC",202
"Köln","1.FC Köln",162
"La Coruña","Deportivo de La Coruña",30
"Las Palmas","UD Las Palmas",62
"Lazio","SS Lazio",175
"Le Havre","Le Havre AC",27
"Lecce","US Lecce",85
"Leeds United","Leeds United",79
"Leganés","CD Leganés",84
"Leicester City","Leicester City",156
"Lens","RC Lens",103
"Levante","Levante UD",141
"Leverkusen","Bayer 04 Leverkusen",176
"Lille","LOSC Lille",170
"Liverpool","Liverpool FC",181
"Lorient","FC Lorient",123
"Luton Town","Luton Town",26
"Lyon","Olympique Lyon",193
"Mainz 05","1.FSV Mainz 05",186
"Mallorca","RCD Mallorca",112
"Manchester City","Manchester City",168
"Manchester Utd","Manchester United",194
"Marseille","Olympique Marseille",186
"Metz","FC Metz",148
"Milan","AC Milan",199
"Monaco","AS Monaco",206
"Montpellier","Montpellier HSC",183
"Monza","AC Monza",61
"Málaga","Málaga CF",36
"Nantes","FC Nantes",205
"Napoli","SSC Napoli",177
"Newcastle Utd","Newcastle United",190
"Nice","OGC Nice",206
"Norwich City","Norwich City",58
"Nott'ham Forest","Nottingham Forest",65
"Nîmes","Nîmes Olympique",82
"Nürnberg","1.FC Nuremberg",26
"Osasuna","CA Osasuna",134
"Paderborn 07","SC Paderborn 07",27
"Paris S-G","Paris Saint-Germain",210
"Parma","Parma Calcio 1913",98
"RB Leipzig","RB Leipzig",178
"Rayo Vallecano","Rayo Vallecano",104
"Real Madrid","Real Madrid",181
"Real Sociedad","Real Sociedad",204
"Reims","Stade Reims",169
"Rennes","Stade Rennais FC",201
"Roma","AS Roma",203
"SPAL","SPAL",87
"Saint-Étienne","AS Saint-Étienne",164
"Salernitana","US Salernitana 1919",107
"Sampdoria","UC Sampdoria",177
"Sassuolo","US Sassuolo",204
"Schalke 04","FC Schalke 04",161
"Sevilla","Sevilla FC",200
"Sheffield Utd","Sheffield United",80
"Southampton","Southampton FC",166
"Spezia","Spezia Calcio",98
"Stoke City","Stoke City",30
"Strasbourg","RC Strasbourg Alsace",183
"Stuttgart","VfB Stuttgart",164
"Swansea City","Swansea City",25
"Torino","Torino FC",190
"Tottenham","Tottenham Hotspur",184
"Toulouse","FC Toulouse",133
"Troyes","ESTAC Troyes",89
"Udinese","Udinese Calcio",195
"Union Berlin","1.FC Union Berlin",134
"Valencia","Valencia CF",194
"Valladolid","Real Valladolid CF",121
"Venezia","Venezia FC",36
"Villarreal","Villarreal CF",199
"Watford","Watford FC",109
"Werder Bremen","SV Werder Bremen",160
"West Brom","West Bromwich Albion",54
"West Ham","West Ham United",179
"Wolfsburg","VfL Wolfsburg",184
"Wolves","Wolverhampton Wanderers",143
